"All Brands","Toutes les marques"
"Are you sure you want to do this?","Êtes-vous sûr(e) de vouloir faire cela ?"
"Brands overview","Aperçu"
"Cannot recognize image extension.","Extension image non reconnue."
"File can not be saved to the destination folder.","Le fichier ne peut être enregistré dans le répertoire de destination."
"Go to Home Page","Aller à la page d’accueil"
"Layout Update XML","XML de mise à jour d’agencement"
"Meta Description","Méta description"
"Meta Title","Titre méta"
"Search Engine Optimization","Optimisation pour les moteurs de recherche"
"Short Description","Description courte"
"URL Key","Clé d’URL"
"Use Default Value","Utiliser la valeur par défaut"
"Valid values range from 0.0 to 1.0.","Les valeurs valides sont comprises entre 0.0 et 1.0."
"Your search returned no results.","Votre recherche n’a donné aucun résultat."
Back,Retour
Delete,Supprimer
Enabled,Activé
Frequency,Fréquence
Home,Accueil
No,Non
Priority,Priorité
Yes,Oui
