Back,Indietro
Delete,Elimina
"Are you sure you want to do this?","Sei sicuro di che voler fare questo?"
Yes,Sì
No,No
Home,Home
"Go to Home Page","Vai alla Home Page"
"Your search returned no results.","La ricerca non ha prodotto risultati."
"File can not be saved to the destination folder.","Il file non può essere salvato nella cartella di destinazione."
"The image content is invalid. Verify the content and try again.","The image content is invalid. Verify the content and try again."
"Product Page","Pagina prodotto"
Enabled,Abilitato
Frequency,Frequenza
Priority,Priorità
"Valid values range from 0.0 to 1.0.","Intervallo di valori validi da 0.0 a 1.0."
ID,ID
"Use Default Value","Use Default Value"
"URL Key","URL Key"
"Layout Update XML","Aggiornamento del layout XML"
"Search Engine Optimization","Ottimizzazione Motori di ricerca"
"Meta Title","Meta Title"
"Meta Description","Meta Description"
