Back,Terug
Delete,Verwijderen
"Are you sure you want to do this?","Weet u zeker dat u dit wilt doen?"
Yes,Ja
No,Nee
"All Brands","Alle merken"
Home,Home
"Go to Home Page","Ga naar homepagina"
"Your search returned no results.","Uw zoekopdracht heeft geen resultaten opgeleverd."
"File can not be saved to the destination folder.","Bestand kan niet worden opgeslagen in de doelmap."
"The image content is invalid. Verify the content and try again.","Inhoud van de afbeelding is ongeldig. Controleer de inhoud en probeer het opnieuw."
"Product Page",productpagina
Enabled,Ingeschakeld
Frequency,Frequentie
Priority,Prioriteit
"Valid values range from 0.0 to 1.0.","Geldige waarden variëren van 0.0 te 1.0."
ID,ID
"Use Default Value","Standaardwaarde gebruiken"
"URL Key","URL sleutel"
"Layout Update XML","Lay-out update XML"
"Search Engine Optimization","Zoekmachine-optimalisatie (SEO)"
"Meta Title","Meta titel"
"Meta Description","Meta Description"
